[2026-06-20 16:21:57.080] [INFO] Logger initialized
[2026-06-20 16:21:57.081] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 16:21:57.098] [EVT.SPAWN] BerryBush at (902,602)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Mushroom at (1647,2426)
[2026-06-20 16:21:57.099] [EVT.SPAWN] GrassTuft at (974,432)
[2026-06-20 16:21:57.099] [EVT.SPAWN] BerryBush at (3305,894)
[2026-06-20 16:21:57.099] [EVT.SPAWN] BerryBush at (2461,716)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Mushroom at (4147,689)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Flowers at (85,1752)
[2026-06-20 16:21:57.099] [EVT.SPAWN] GrassTuft at (3286,2398)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Toadstool at (5944,2213)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Cactus at (2564,1427)
[2026-06-20 16:21:57.099] [EVT.SPAWN] BerryBush at (1039,495)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Cactus at (6316,3677)
[2026-06-20 16:21:57.099] [EVT.SPAWN] GrassTuft at (5945,130)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Toadstool at (777,509)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Toadstool at (1523,4445)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Flowers at (189,1108)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Moss at (3559,3419)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Cactus at (3475,4548)
[2026-06-20 16:21:57.099] [EVT.SPAWN] GrassTuft at (3780,1920)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Moss at (6031,3946)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Moss at (1213,1330)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Pine at (6101,4526)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Cactus at (5158,1669)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Toadstool at (335,267)
[2026-06-20 16:21:57.099] [EVT.SPAWN] GrassTuft at (2904,3664)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Moss at (3922,1858)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Toadstool at (106,1432)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Mushroom at (6019,3610)
[2026-06-20 16:21:57.099] [EVT.SPAWN] GrassTuft at (1398,2904)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Mushroom at (6264,1686)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Toadstool at (1153,3147)
[2026-06-20 16:21:57.099] [EVT.SPAWN] GrassTuft at (1250,3794)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Mushroom at (1992,2593)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Cactus at (5499,198)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Cactus at (1977,2324)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Toadstool at (3204,1000)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Plant at (698,4342)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Plant at (32,3133)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Flowers at (5070,1384)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Cactus at (4607,4325)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Toadstool at (5191,3180)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Pine at (5209,2130)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Toadstool at (383,4064)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Cactus at (6197,147)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Flowers at (2971,1835)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Cactus at (281,1360)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Pine at (5581,263)
[2026-06-20 16:21:57.099] [EVT.SPAWN] Flowers at (3976,2945)
[2026-06-20 16:21:57.102] [EVT.SPAWN] Flowers at (700,2372)
[2026-06-20 16:21:57.102] [EVT.SPAWN] GrassTuft at (5212,4607)
